name,artist,cluster
The Immortals                                                                                                                                                                    ,Unleashed                                       ,1
Lord of All Fevers & Plague                                                                                                                                                      ,Morbid Angel                                    ,28
Lost                                                                                                                                                                             ,God Macabre                                     ,28
Phrenetic Tendencies                                                                                                                                                             ,Fleshcrawl                                      ,35
Black Label                                                                                                                                                                      ,Lamb of God                                     ,6
The Black Dahlia                                                                                                                                                                 ,Lamb of God                                     ,6
My Ending Quest - remastered 2012                                                                                                                                                ,Gorement                                        ,35
Confessions of a Serial Killer                                                                                                                                                   ,Gorefest                                        ,6
Bind Torture Kill                                                                                                                                                                ,Suffocation                                     ,19
Transmogrified                                                                                                                                                                   ,Solstice                                        ,19
Cleansed Of Impurity                                                                                                                                                             ,Solstice                                        ,30
To The Depths (In Degradation)                                                                                                                                                   ,Infester                                        ,20
Chamber Of Reunion                                                                                                                                                               ,Infester                                        ,9
Braded Into Palsy                                                                                                                                                                ,Infester                                        ,6
Seasons                                                                                                                                                                          ,Oppressor                                       ,9
Eclipse into Eternity                                                                                                                                                            ,Oppressor                                       ,6
And the Angel Fell (The Suffering)                                                                                                                                               ,Oppressor                                       ,6
Passage                                                                                                                                                                          ,Oppressor                                       ,28
Rage Within                                                                                                                                                                      ,Resurrection                                    ,10
Disembodied                                                                                                                                                                      ,Resurrection                                    ,28
Embalmed Existence                                                                                                                                                               ,Resurrection                                    ,35
Black Vision                                                                                                                                                                     ,Purtenance                                      ,13
Deep Blue Darkness                                                                                                                                                               ,Purtenance                                      ,19
A Dark Cloud Arises                                                                                                                                                              ,Purtenance                                      ,19
Prevent Anemia                                                                                                                                                                   ,Wombbath                                        ,9
Intestinal Bleeding                                                                                                                                                              ,Wombbath                                        ,20
Dog Days                                                                                                                                                                         ,Comecon                                         ,17
Democrator                                                                                                                                                                       ,Comecon                                         ,17
The Ethno-Surge                                                                                                                                                                  ,Comecon                                         ,17
Wash Away the Filth                                                                                                                                                              ,Comecon                                         ,35
Regurgitation of Giblets                                                                                                                                                         ,Carcass                                         ,17
Maggot Colony                                                                                                                                                                    ,Carcass                                         ,20
Pyosisified (Rotten to the Gore)                                                                                                                                                 ,Carcass                                         ,17
Reek of Putrefaction                                                                                                                                                             ,Carcass                                         ,6
Exhume to Consume                                                                                                                                                                ,Carcass                                         ,9
Excoriating Abdominal Emanation                                                                                                                                                  ,Carcass                                         ,20
Inpropagation                                                                                                                                                                    ,Carcass                                         ,10
Symposium of Sickness                                                                                                                                                            ,Carcass                                         ,6
Buried Dreams                                                                                                                                                                    ,Carcass                                         ,35
Carnal Forge                                                                                                                                                                     ,Carcass                                         ,17
Heartwork                                                                                                                                                                        ,Carcass                                         ,17
Keep On Rotting in the Free World                                                                                                                                                ,Carcass                                         ,24
Go to Hell                                                                                                                                                                       ,Carcass                                         ,10
Living Dead                                                                                                                                                                      ,Entombed                                        ,6
Night Of The Vampire                                                                                                                                                             ,Entombed                                        ,0
Eyemaster                                                                                                                                                                        ,Entombed                                        ,20
Rapture                                                                                                                                                                          ,Morbid Angel                                    ,10
God of Emptiness                                                                                                                                                                 ,Morbid Angel                                    ,28
Twilight                                                                                                                                                                         ,Edge Of Sanity                                  ,10
Of Darksome Origin                                                                                                                                                               ,Edge Of Sanity                                  ,28
Blood-Coloured                                                                                                                                                                   ,Edge Of Sanity                                  ,1
"Crimson, Pt. 1                                                                                                                                                                 ",Edge Of Sanity                                  ,0
"Crimson, Pt. 2                                                                                                                                                                 ",Edge Of Sanity                                  ,6
No Destiny                                                                                                                                                                       ,Edge Of Sanity                                  ,17
Hell Written                                                                                                                                                                     ,Edge Of Sanity                                  ,28
Hell Is Where the Heart Is                                                                                                                                                       ,Edge Of Sanity                                  ,30
Darkday                                                                                                                                                                          ,Edge Of Sanity                                  ,28
Tales...                                                                                                                                                                         ,Edge Of Sanity                                  ,9
Maze of Existence                                                                                                                                                                ,Edge Of Sanity                                  ,35
Lunatic of God's Creation                                                                                                                                                        ,Deicide                                         ,19
Deicide                                                                                                                                                                          ,Deicide                                         ,20
When Satan Rules His World                                                                                                                                                       ,Deicide                                         ,35
Kill the Christian                                                                                                                                                               ,Deicide                                         ,8
Repent to Die                                                                                                                                                                    ,Deicide                                         ,28
"With Their Flesh, He'll Create                                                                                                                                                 ",Gorguts                                         ,19
Condemned to Obscurity                                                                                                                                                           ,Gorguts                                         ,28
The Erosion of Sanity                                                                                                                                                            ,Gorguts                                         ,9
Obscura                                                                                                                                                                          ,Gorguts                                         ,19
Malleus Maleficarum / Anthropomorphia                                                                                                                                            ,Pestilence                                      ,19
Parricide                                                                                                                                                                        ,Pestilence                                      ,32
Commandments                                                                                                                                                                     ,Pestilence                                      ,19
Chemotherapy                                                                                                                                                                     ,Pestilence                                      ,30
Praise Of The Almighty                                                                                                                                                           ,Hate Eternal                                    ,6
Dogma Condemned                                                                                                                                                                  ,Hate Eternal                                    ,17
Catacombs                                                                                                                                                                        ,Hate Eternal                                    ,17
Put them to Death                                                                                                                                                                ,Cannibal Corpse                                 ,30
Bastard of Christ                                                                                                                                                                ,Deicide                                         ,6
Blame It on God                                                                                                                                                                  ,Deicide                                         ,6
Slave to the Cross                                                                                                                                                               ,Deicide                                         ,9
Holy Deception                                                                                                                                                                   ,Deicide                                         ,9
Valley Of The Dead                                                                                                                                                               ,Baphomet                                        ,35
Homage For Satan                                                                                                                                                                 ,Deicide                                         ,20
Scars Of The Crucifix                                                                                                                                                            ,Deicide                                         ,9
Service for a Vacant Coffin                                                                                                                                                      ,Autopsy                                         ,28
Ridden with Disease                                                                                                                                                              ,Autopsy                                         ,6
Meat                                                                                                                                                                             ,Autopsy                                         ,0
Necrocannibalistic Vomitorium                                                                                                                                                    ,Autopsy                                         ,28
In the Grip of Winter                                                                                                                                                            ,Autopsy                                         ,0
Slaughterday                                                                                                                                                                     ,Autopsy                                         ,20
Chaos                                                                                                                                                                            ,Vader                                           ,30
Breath Of Centuries                                                                                                                                                              ,Vader                                           ,6
Final Massacre                                                                                                                                                                   ,Vader                                           ,35
Shadowfear                                                                                                                                                                       ,Vader                                           ,22
Predator                                                                                                                                                                         ,Vader                                           ,1
Dark Transmission                                                                                                                                                                ,Vader                                           ,8
Sothis                                                                                                                                                                           ,Vader                                           ,20
Testimony                                                                                                                                                                        ,Vader                                           ,0
Dominated Resurgency                                                                                                                                                             ,Malevolent Creation                             ,6
The Way of All Flesh                                                                                                                                                             ,Malevolent Creation                             ,28
Visions from Beyond the Grave                                                                                                                                                    ,Nocturnus                                       ,17
Climate Controller                                                                                                                                                               ,Nocturnus                                       ,24
Tribal Vodoun                                                                                                                                                                    ,Nocturnus                                       ,20
Arctic Crypt                                                                                                                                                                     ,Nocturnus                                       ,23
Scavenger of Human Sorrow                                                                                                                                                        ,Death                                           ,19
Your Treachery Will Die WIth You                                                                                                                                                 ,Dying Fetus                                     ,6
Pain Divine                                                                                                                                                                      ,Morbid Angel                                    ,0
Living Dissection                                                                                                                                                                ,Cannibal Corpse                                 ,35
The Cryptic Stench                                                                                                                                                               ,Cannibal Corpse                                 ,9
The Pick Axe Murders                                                                                                                                                             ,Cannibal Corpse                                 ,9
Defenstration                                                                                                                                                                    ,Cryptopsy                                       ,20
Abigor                                                                                                                                                                           ,Cryptopsy                                       ,20
Premature Burial                                                                                                                                                                 ,Electrocution                                   ,19
Rising of Infection                                                                                                                                                              ,Electrocution                                   ,28
They Died Without Crosses                                                                                                                                                        ,Electrocution                                   ,28
Purity of Sadness                                                                                                                                                                ,Illdisposed                                     ,35
A Frame of Mind                                                                                                                                                                  ,Illdisposed                                     ,0
The Hidden Ache                                                                                                                                                                  ,Illdisposed                                     ,9
Forbidden Summer Poetry                                                                                                                                                          ,Illdisposed                                     ,20
Reversed                                                                                                                                                                         ,Illdisposed                                     ,6
Vision Conquest                                                                                                                                                                  ,Napalm Death                                    ,6
Mind Snare                                                                                                                                                                       ,Napalm Death                                    ,30
Inner Incineration                                                                                                                                                               ,Napalm Death                                    ,9
I Abstain                                                                                                                                                                        ,Napalm Death                                    ,6
Dementia Access                                                                                                                                                                  ,Napalm Death                                    ,19
Bloodlands                                                                                                                                                                       ,Cannibal Corpse                                 ,6
Remnants of Withered Decay                                                                                                                                                       ,Malevolent Creation                             ,30
Multiple Stab Wounds                                                                                                                                                             ,Malevolent Creation                             ,28
Coronation of Our Domain                                                                                                                                                         ,Malevolent Creation                             ,30
Dying                                                                                                                                                                            ,Obituary                                        ,6
Life Demise                                                                                                                                                                      ,Unanimated                                      ,30
Birth of Ignorance                                                                                                                                                               ,Brutal Truth                                    ,0
Bleed for the Devil                                                                                                                                                              ,Morbid Angel                                    ,28
Miscarriage - Pungent Stench / Disharmonic Orchestra Split                                                                                                                       ,Pungent Stench                                  ,17
Molecular Disembowelment - Demo Recordings                                                                                                                                       ,Pungent Stench                                  ,17
World Eater                                                                                                                                                                      ,Bolt Thrower                                    ,9
Inoculated Life                                                                                                                                                                  ,Gorguts                                         ,9
Bodily Corrupted                                                                                                                                                                 ,Gorguts                                         ,17
Considered Dead                                                                                                                                                                  ,Gorguts                                         ,6
World Without God                                                                                                                                                                ,Convulse                                        ,35
Destined to Fester                                                                                                                                                               ,Autopsy                                         ,6
Legacy of Blood                                                                                                                                                                  ,Sorcery                                         ,35
Spawn of Flesh                                                                                                                                                                   ,God Macabre                                     ,35
Dying Remains                                                                                                                                                                    ,Morta Skuld                                     ,0
Spiritual Immolation                                                                                                                                                             ,Sinister                                        ,0
The Return                                                                                                                                                                       ,Therion                                         ,20
Beyond the Flesh                                                                                                                                                                 ,Disincarnate                                    ,35
Dead                                                                                                                                                                             ,Autopsy                                         ,20
Rotting Ways to Misery                                                                                                                                                           ,Sentenced                                       ,6
Black Star                                                                                                                                                                       ,Carcass                                         ,28
Shadows in the Deep                                                                                                                                                              ,Unleashed                                       ,23
Empty Words                                                                                                                                                                      ,Death                                           ,28
Pure Hate                                                                                                                                                                        ,Merciless                                       ,30
Open Casket                                                                                                                                                                      ,Death                                           ,30
Annihilation of the Wicked                                                                                                                                                       ,Nile                                            ,9
As I Behold I Despise                                                                                                                                                            ,Demigod                                         ,9
The Glorious Dead                                                                                                                                                                ,Gorefest                                        ,30
Monarch of the Sleeping Marches                                                                                                                                                  ,Disincarnate                                    ,20
Suffocation                                                                                                                                                                      ,Morbid Angel                                    ,30
Sacrificed                                                                                                                                                                       ,Edge Of Sanity                                  ,9
Criminal Ecstasy                                                                                                                                                                 ,Blackthorn                                      ,10
Thrones of Death                                                                                                                                                                 ,Blackthorn                                      ,20
Slow Extincion of Life                                                                                                                                                           ,Blackthorn                                      ,30
Where Sinners Burn                                                                                                                                                               ,Necrophobic                                     ,6
City of Screaming Statues                                                                                                                                                        ,At The Gates                                    ,17
Jesters of Recession                                                                                                                                                             ,Rottrevore                                      ,35
Omega Factor                                                                                                                                                                     ,Killing Addiction                               ,17
Morbid Way to Die - remastered 2001                                                                                                                                              ,Grave                                           ,17
Pestilential Mists                                                                                                                                                               ,Abhorrence                                      ,6
When the Sky Turns Black                                                                                                                                                         ,Brutality                                       ,30
Morbid Death                                                                                                                                                                     ,Interment                                       ,17
Repulsive Odor of Descomposition                                                                                                                                                 ,Cenotaph                                        ,9
Ashes in the Rain                                                                                                                                                                ,Cenotaph                                        ,6
Requiem For a Soul Request                                                                                                                                                       ,Cenotaph                                        ,20
Crying Frost                                                                                                                                                                     ,Cenotaph                                        ,30
The Ibex Moon                                                                                                                                                                    ,Incantation                                     ,35
Fading Survival                                                                                                                                                                  ,Deceased…                                       ,20
The Cemetary's Full                                                                                                                                                              ,Deceased…                                       ,17
Experimenting With Failure                                                                                                                                                       ,Deceased…                                       ,0
Morbid Shape in Black                                                                                                                                                            ,Deceased…                                       ,20
The Triangle                                                                                                                                                                     ,Deceased…                                       ,20
Island of the Unknown                                                                                                                                                            ,Deceased…                                       ,6
The Silent Creature                                                                                                                                                              ,Deceased…                                       ,6
Devoid of Truth                                                                                                                                                                  ,Suffocation                                     ,6
Back from the Dead                                                                                                                                                               ,Cancer                                          ,10
Souls of the Dead                                                                                                                                                                ,Merciless                                       ,9
Wings of Funeral                                                                                                                                                                 ,Morbid                                          ,17
Mental Decay                                                                                                                                                                     ,Necrophagia                                     ,35
Sacrificial Annihilation                                                                                                                                                         ,Malevolent Creation                             ,28
Malevolent Creation                                                                                                                                                              ,Malevolent Creation                             ,10
Injected Sufferage                                                                                                                                                               ,Malevolent Creation                             ,28
Wings                                                                                                                                                                            ,Sentenced                                       ,0
Kadonneet jumalat                                                                                                                                                                ,Rippikoulu                                      ,35
Kuolematon totuus                                                                                                                                                                ,Rippikoulu                                      ,35
Ikuinen piina                                                                                                                                                                    ,Rippikoulu                                      ,35
Into Nowhere                                                                                                                                                                     ,God Macabre                                     ,35
Teardrops                                                                                                                                                                        ,God Macabre                                     ,35
