id,cluster
7I73jiv3WwEM9hqqr2TuX0 ,10
2PIC7KxAgHGYCGuGqcorw7 ,25
3ChKtS6fpy2XrLnT60meKq ,9
6OGRM4MAOlyOdhHuX0OJ6P ,6
637TZlQOtAmR1qP8CZuT8R ,6
2yuiqP0DwTOXB8lOibssms ,38
5QpKQrb3sRdYGtVgpzNbx5 ,39
54mosuwsjKGx59Ga5y6zbz ,9
2EwEtZrsBpjLmwhe7GCGhs ,20
3Eo7gYxGRMlwUgZVN2OYZw ,9
4cUMknaJSsOreRHSGfA1W8 ,1
2QP0moUeWZ9n50mp4UIo2h ,9
2B0vzJSvp2Y0Bx8HUN4jyT ,6
1WUCUeB6bvoio4oi1AZtZu ,29
5wZbNyht0kr3Tu8BkW4hux ,9
6TlLq2hP4KtTLiEp8MYmS4 ,7
5mt3HpjZuJNpqg1k415CnR ,18
3F9FpIZ8Mp8EYlRkfxbhA7 ,20
3LiJkn24zLD0SUPbVNyDwh ,3
6KyyTheVmJZsNdqwOj0MR3 ,8
7xCIpKMNNbrWeIILyHTH1u ,20
7aghcqWLL9hGMIb0VFdbyD ,1
3bX7DjvYm5iNMy0oDqJgrG ,18
4FSB0maA67tiXOgdMvRKfR ,25
3VsYJCWecqxdwAN2Xu3cL5 ,25
1CDX9A7Gw2PJOVNij6z0Rx ,18
48ms0hhlSfGvdh665Ig9b8 ,25
3ZORmtq9HSYhdiyeeJyKHb ,16
3bdi228j2POsaAx8YMfi3Y ,5
2AYbsjTZfrtTMn02JS0bas ,39
6Jyi5nq9lvIQLEOCbv1s3Y ,16
7JM85ZtL4IvNOmCFzWtKPS ,16
1yh9f9uET5IvqfI1PWBQZG ,18
2WtHKaP13MqxyJWSpS23Ka ,18
60lsfzdFLUHovCS5Zjn0Xl ,18
2fGkzgwwhiyYRgXZHUxYA9 ,22
4DQf7bqXqzZPMC8FayDR2B ,34
0a4agFmqHXxcZl1nho1BxM ,20
2OEQjmvLDOf432MCmrZEss ,18
0ayUnhbgrnzsv1L94dgHQ7 ,20
1ey9ub4AISvEmjM7tkoBh0 ,12
4AlZ0FgehhgtLHddKx0Ou7 ,34
3M0YwlWNPX8cfWQjYsXTpu ,17
5TM2eqdzfWPHklI7YnBmsD ,8
1H2LA13UVt0C85Xzlsd1jw ,20
4D0BiMiLN6z2x7Tq9BcqoT ,18
4igKl8YqB7HsDP9ZKJbUEy ,1
1LwP9g1Hjbs64jXM2Qsxry ,15
03yOjwHoOPDlTUg0NRxN6t ,4
5pnjC3ic5HEhPAG5ELQYGj ,16
3lcG2ak2Fv85SkZuHjFqNl ,22
1LnUkEqDPybqqvce7MDMyw ,4
4HZoJRRNuCaxIAiozUpydz ,16
0cCq9wWxSs7Gj9oCNKqN56 ,21
66miiMgNM5BTNm4BBdgkjP ,16
0NTMIwWMrhFpOYl8STFEyK ,18
1jalG6lS08Gu8q16MgDbrC ,32
6vFBddSf6rCs9pVXRrPgVw ,20
7rei6sQZgKOOZF7HnjYxA9 ,17
6KzKmp5OBCt6qLIxVwzL7r ,20
